block,border_color,figure,is_color_change,is_figure_change,is_update,trial_id
b_0,blue,X,no_color_change,no_figure_change,update,0
b_0,red,Y,color_change,figure_change,no_update,1
b_0,red,X,no_color_change,figure_change,no_update,2
b_1,blue,Y,no_color_change,no_figure_change,update,0
b_1,blue,X,no_color_change,figure_change,update,1
b_1,red,Y,color_change,figure_change,no_update,2
b_1,blue,Y,color_change,no_figure_change,update,3
b_1,blue,Y,no_color_change,no_figure_change,update,4
b_1,blue,X,no_color_change,figure_change,update,5
b_1,red,Y,color_change,figure_change,no_update,6
b_1,blue,Y,color_change,no_figure_change,update,7
b_1,red,X,color_change,figure_change,no_update,8
b_1,red,Y,no_color_change,figure_change,no_update,9
b_1,blue,X,color_change,figure_change,update,10
b_1,red,X,color_change,no_figure_change,no_update,11
b_1,red,Y,no_color_change,figure_change,no_update,12
b_1,red,X,no_color_change,figure_change,no_update,13
b_1,blue,Y,color_change,figure_change,update,14
b_1,blue,Y,no_color_change,no_figure_change,update,15
b_1,blue,Y,no_color_change,no_figure_change,update,16
b_1,red,Y,color_change,no_figure_change,no_update,17
b_1,blue,X,color_change,figure_change,update,18
b_1,red,Y,color_change,figure_change,no_update,19
b_1,red,Y,no_color_change,no_figure_change,no_update,20
b_1,blue,X,color_change,figure_change,update,21
