block,border_color,dominant,figure,is_color_change,is_figure_change,is_first,is_update,trial_id,is_correct
b_0,red,red,X,no_color_change,no_figure_change,first,update,0,incorrect
b_0,blue,red,X,color_change,no_figure_change,not_first,no_update,1,incorrect
b_0,red,red,X,color_change,no_figure_change,not_first,update,2,incorrect
b_0,blue,red,X,color_change,no_figure_change,not_first,no_update,3,incorrect
b_0,red,red,Y,color_change,figure_change,not_first,update,4,incorrect
b_0,blue,red,X,color_change,figure_change,not_first,no_update,5,incorrect
b_0,red,red,Y,color_change,figure_change,not_first,update,6,incorrect
b_0,blue,red,Y,color_change,no_figure_change,not_first,no_update,7,incorrect
b_0,red,red,X,color_change,figure_change,not_first,update,8,incorrect
b_0,red,red,Y,no_color_change,figure_change,not_first,update,9,incorrect
b_0,blue,red,X,color_change,figure_change,not_first,no_update,10,incorrect
b_0,red,red,Y,color_change,figure_change,not_first,update,11,incorrect
b_0,red,red,X,no_color_change,figure_change,not_first,update,12,incorrect
b_0,blue,red,X,color_change,no_figure_change,not_first,no_update,13,incorrect
b_0,red,red,X,color_change,no_figure_change,not_first,update,14,incorrect
b_0,blue,red,X,color_change,no_figure_change,not_first,no_update,15,incorrect
b_0,blue,red,Y,no_color_change,figure_change,not_first,no_update,16,incorrect
b_0,red,red,X,color_change,figure_change,not_first,update,17,incorrect
b_0,red,red,X,no_color_change,no_figure_change,not_first,update,18,incorrect
b_0,red,red,Y,no_color_change,figure_change,not_first,update,19,incorrect
b_0,red,red,Y,no_color_change,no_figure_change,not_first,update,20,incorrect
b_0,blue,red,Y,color_change,no_figure_change,not_first,no_update,21,incorrect
b_1,red,red,X,no_color_change,no_figure_change,first,update,0,correct
b_1,blue,red,X,color_change,no_figure_change,not_first,no_update,1,correct
b_1,red,red,Y,color_change,figure_change,not_first,update,2,correct
b_1,blue,red,Y,color_change,no_figure_change,not_first,no_update,3,correct
b_1,red,red,Y,color_change,no_figure_change,not_first,update,4,correct
b_1,blue,red,Y,color_change,no_figure_change,not_first,no_update,5,correct
b_1,red,red,X,color_change,figure_change,not_first,update,6,correct
b_2,red,red,Y,no_color_change,no_figure_change,first,update,0,correct
b_2,blue,red,Y,color_change,no_figure_change,not_first,no_update,1,correct
b_2,red,red,X,color_change,figure_change,not_first,update,2,correct
b_2,blue,red,Y,color_change,figure_change,not_first,no_update,3,correct
b_2,blue,red,X,no_color_change,figure_change,not_first,no_update,4,correct
b_2,blue,red,Y,no_color_change,figure_change,not_first,no_update,5,correct
b_2,blue,red,X,no_color_change,figure_change,not_first,no_update,6,correct
b_2,blue,red,X,no_color_change,no_figure_change,not_first,no_update,7,correct
b_2,red,red,Y,color_change,figure_change,not_first,update,8,correct
b_3,red,red,Y,no_color_change,no_figure_change,first,update,0,correct
b_3,blue,red,Y,color_change,no_figure_change,not_first,no_update,1,correct
b_3,red,red,X,color_change,figure_change,not_first,update,2,correct
b_3,blue,red,X,color_change,no_figure_change,not_first,no_update,3,correct
