block,border_color,dominant,figure,is_color_change,is_figure_change,is_first,is_update,trial_id,is_correct
b_0,red,red,X,no_color_change,no_figure_change,first,update,0,correct
b_0,blue,red,X,color_change,no_figure_change,not_firt,no_update,1,correct
b_0,blue,red,X,no_color_change,no_figure_change,not_firt,no_update,2,correct
b_0,red,red,Y,color_change,figure_change,not_firt,update,3,correct
b_0,blue,red,X,color_change,figure_change,not_firt,no_update,4,correct
b_0,blue,red,X,no_color_change,no_figure_change,not_firt,no_update,5,correct
b_0,red,red,Y,color_change,figure_change,not_firt,update,6,correct
b_0,blue,red,X,color_change,figure_change,not_firt,no_update,7,correct
b_0,blue,red,Y,no_color_change,figure_change,not_firt,no_update,8,correct
b_1,red,red,X,no_color_change,no_figure_change,first,update,0,correct
b_1,red,red,X,no_color_change,no_figure_change,not_firt,update,1,correct
b_1,red,red,X,no_color_change,no_figure_change,not_firt,update,2,correct
b_1,blue,red,X,color_change,no_figure_change,not_firt,no_update,3,correct
b_1,blue,red,Y,no_color_change,figure_change,not_firt,no_update,4,correct
b_1,blue,red,X,no_color_change,figure_change,not_firt,no_update,5,correct
b_1,red,red,Y,color_change,figure_change,not_firt,update,6,correct
b_1,blue,red,Y,color_change,no_figure_change,not_firt,no_update,7,correct
b_1,red,red,X,color_change,figure_change,not_firt,update,8,correct
b_1,red,red,Y,no_color_change,figure_change,not_firt,update,9,correct
b_1,red,red,X,no_color_change,figure_change,not_firt,update,10,correct
b_2,red,red,X,no_color_change,no_figure_change,first,update,0,correct
b_2,blue,red,Y,color_change,figure_change,not_firt,no_update,1,correct
b_2,red,red,Y,color_change,no_figure_change,not_firt,update,2,correct
b_2,red,red,X,no_color_change,figure_change,not_firt,update,3,correct
b_2,blue,red,X,color_change,no_figure_change,not_firt,no_update,4,correct
b_2,blue,red,Y,no_color_change,figure_change,not_firt,no_update,5,correct
b_2,blue,red,X,no_color_change,figure_change,not_firt,no_update,6,correct
b_2,blue,red,Y,no_color_change,figure_change,not_firt,no_update,7,correct
b_2,blue,red,Y,no_color_change,no_figure_change,not_firt,no_update,8,correct
b_2,blue,red,X,no_color_change,figure_change,not_firt,no_update,9,correct
b_2,blue,red,Y,no_color_change,figure_change,not_firt,no_update,10,correct
b_2,red,red,Y,color_change,no_figure_change,not_firt,update,11,correct
b_2,blue,red,X,color_change,figure_change,not_firt,no_update,12,correct
b_2,blue,red,X,no_color_change,no_figure_change,not_firt,no_update,13,correct
b_2,red,red,Y,color_change,figure_change,not_firt,update,14,correct
b_2,red,red,X,no_color_change,figure_change,not_firt,update,15,correct
b_2,blue,red,Y,color_change,figure_change,not_firt,no_update,16,correct
b_2,blue,red,Y,no_color_change,no_figure_change,not_firt,no_update,17,correct
b_2,blue,red,Y,no_color_change,no_figure_change,not_firt,no_update,18,correct
b_3,red,red,X,no_color_change,no_figure_change,first,update,0,correct
b_3,blue,red,X,color_change,no_figure_change,not_firt,no_update,1,correct
b_3,blue,red,Y,no_color_change,figure_change,not_firt,no_update,2,correct
b_3,blue,red,Y,no_color_change,no_figure_change,not_firt,no_update,3,correct
b_3,red,red,X,color_change,figure_change,not_firt,update,4,correct
